epoch,train_loss,train_mae,val_loss,val_mae,val_rmse,val_r2,learning_rate
76,0.00039726,0.01323183,0.00041736,0.01425571,0.05435809,0.96631908,0.003
77,0.0004042,0.01505751,0.00044691,0.01597676,0.05475871,0.96582079,0.003
78,0.00039493,0.01438719,0.00042272,0.01577548,0.05398305,0.96678224,0.003
79,0.00040374,0.01446468,0.00040747,0.01528484,0.0542015,0.96651286,0.003
80,0.00039719,0.01328084,0.00040918,0.01466703,0.05445528,0.96619854,0.003
81,0.00038409,0.01742983,0.0004646,0.01834866,0.05425969,0.96644092,0.003
82,0.000409,0.0150472,0.00042334,0.01582073,0.05457109,0.96605461,0.003
83,0.0004224,0.01815687,0.00049775,0.01952223,0.0553826,0.96503753,0.003
84,0.00049141,0.01304029,0.00042825,0.01446355,0.05433616,0.96634626,0.003
85,0.00043602,0.01370851,0.00043466,0.01501356,0.0549859,0.96553659,0.003
86,0.00039766,0.01489244,0.00045762,0.01635956,0.05565267,0.96469571,0.003
87,0.00038896,0.01479986,0.00040448,0.01493894,0.05313684,0.96781549,0.003
88,0.00050636,0.01650873,0.00046089,0.01776466,0.05376246,0.96705316,0.003
89,0.00042859,0.01408559,0.00040224,0.01483674,0.05393529,0.96684099,0.003
90,0.00042648,0.01407381,0.00045895,0.0152611,0.05575737,0.96456275,0.003
91,0.0004569,0.01385259,0.00042887,0.01483513,0.05486688,0.96568563,0.003
92,0.00043344,0.01309468,0.00043477,0.01425478,0.05539497,0.9650219,0.003
93,0.00040595,0.01362847,0.00042633,0.01479217,0.05437882,0.96629339,0.003
94,0.00043915,0.01430663,0.0004433,0.01577659,0.05489078,0.96565572,0.003
95,0.00041384,0.01351636,0.00042699,0.01490113,0.05424562,0.96645831,0.003
96,0.00039278,0.01369732,0.00039286,0.01474491,0.05240386,0.96869728,0.003
97,0.00041483,0.0197242,0.00050184,0.0193229,0.05507137,0.96542937,0.003
98,0.00041919,0.01313525,0.00038513,0.01412828,0.05293282,0.96806216,0.003
99,0.0003535,0.01247979,0.00038643,0.01383355,0.05362022,0.96722727,0.003
100,0.00035391,0.01381728,0.00039514,0.0155277,0.05348352,0.96739416,0.003
101,0.00034363,0.0135322,0.0004053,0.01438936,0.05275587,0.96827533,0.003
102,0.00044425,0.01561017,0.00044175,0.01679609,0.05555224,0.964823,0.003
103,0.00041505,0.01283371,0.00040969,0.01425443,0.05337373,0.96752788,0.003
104,0.00036448,0.01386416,0.00041755,0.01584037,0.05076071,0.97062953,0.003
105,0.00038749,0.01326682,0.0004165,0.01490087,0.05075825,0.97063238,0.003
106,0.00036485,0.01224802,0.00039021,0.01392961,0.0472476,0.97455427,0.003
107,0.00033078,0.01234443,0.00037425,0.01387986,0.04359082,0.97834065,0.003
108,0.0003314,0.01133652,0.00038199,0.01339421,0.04603107,0.97584775,0.003
109,0.00031625,0.01148379,0.00039263,0.01358611,0.04260825,0.97930607,0.003
110,0.00030823,0.01090253,0.00034043,0.01244123,0.04034679,0.98144446,0.003
111,0.00034896,0.01333209,0.00037487,0.01493728,0.04279453,0.97912473,0.003
112,0.00034718,0.01304422,0.00042352,0.01488508,0.04706383,0.97475182,0.003
113,0.00037028,0.01257756,0.00047828,0.01447832,0.04550434,0.97639733,0.003
114,0.00030798,0.01247949,0.00039232,0.01350886,0.04098321,0.98085447,0.003
115,0.00029453,0.01013896,0.00037399,0.01296176,0.0411152,0.98073095,0.003
116,0.00024601,0.00877631,0.00032519,0.01146423,0.04010036,0.98167044,0.003
117,0.00026619,0.01144452,0.00039587,0.01347538,0.04103115,0.98080965,0.003
118,0.00027118,0.01046367,0.00034418,0.01271234,0.0397359,0.98200211,0.003
119,0.00028398,0.01380038,0.00042717,0.01505173,0.04954961,0.97201431,0.003
120,0.00039772,0.01033026,0.00041998,0.01290744,0.04230668,0.97959797,0.003
121,0.00030357,0.00960443,0.00037005,0.01190608,0.04080567,0.98101998,0.003
122,0.00026111,0.01030705,0.00035092,0.01213401,0.03846357,0.98313623,0.003
123,0.00024602,0.00954949,0.00031395,0.0117116,0.03753579,0.98393996,0.003
124,0.00021006,0.00806265,0.00034056,0.01077422,0.04027098,0.98151413,0.003
125,0.00020758,0.00868209,0.00031401,0.01113425,0.03911484,0.98256032,0.003
126,0.00019838,0.00862672,0.00031122,0.01095965,0.03766494,0.98382925,0.003
127,0.00020373,0.00815598,0.00029959,0.01031583,0.03758724,0.9838959,0.003
128,0.00019939,0.00823491,0.00032243,0.01094156,0.03929422,0.98239999,0.003
129,0.00019134,0.00815838,0.00032584,0.01101139,0.03877869,0.98285878,0.003
130,0.00018705,0.00804495,0.0003096,0.01083935,0.0378597,0.98366159,0.003
131,0.00020924,0.0089162,0.00033508,0.01169477,0.03921161,0.98247391,0.003
132,0.00018289,0.00760747,0.00030519,0.01009829,0.03739587,0.98405947,0.003
133,0.00018529,0.00849738,0.00030055,0.01045066,0.03692672,0.98445692,0.003
134,0.00018762,0.00801162,0.00030168,0.01036518,0.03697189,0.98441887,0.003
135,0.00019474,0.00882944,0.00030646,0.01045084,0.03747667,0.98399051,0.003
136,0.00030596,0.01305886,0.00040707,0.01454294,0.04839391,0.97330456,0.003
137,0.0002944,0.01063836,0.00043665,0.01400396,0.04128708,0.98056951,0.003
138,0.00028814,0.01093653,0.00030891,0.01239453,0.03824743,0.98332522,0.003
139,0.00024086,0.00967353,0.00031263,0.01178946,0.03621677,0.98504884,0.003
140,0.00021369,0.00807706,0.00035139,0.01094663,0.04024603,0.98153703,0.003
141,0.00018946,0.00809512,0.00034262,0.01048158,0.03865973,0.98296378,0.003
142,0.00019702,0.00842068,0.00033505,0.01109459,0.03901996,0.98264482,0.003
143,0.00025239,0.01065113,0.00042363,0.01380855,0.04201925,0.97987425,0.003
144,0.00026126,0.01249513,0.00040455,0.01486482,0.04204155,0.97985288,0.003
145,0.00026911,0.0087291,0.00030231,0.01143843,0.03837997,0.98320945,0.003
146,0.00020905,0.01123286,0.0003232,0.01252819,0.03825883,0.98331528,0.003
147,0.00021379,0.00736742,0.00027454,0.00950768,0.03628884,0.98498928,0.003
148,0.00018859,0.00776729,0.00028246,0.01004502,0.03613162,0.98511906,0.003
149,0.00016836,0.00823385,0.0002723,0.01028248,0.03540785,0.98570926,0.003
150,0.00016474,0.00742411,0.00031871,0.01025104,0.03845767,0.9831414,0.003
151,0.00021877,0.00776403,0.00035779,0.01100129,0.04035715,0.98143494,0.003
152,0.00019098,0.00700087,0.00028206,0.00943008,0.03629432,0.98498474,0.003
153,0.00016379,0.00670879,0.000269,0.00878465,0.03540281,0.98571333,0.003
154,0.00016488,0.00654828,0.00026354,0.00868478,0.03532064,0.98577957,0.003
155,0.00015504,0.00736396,0.00025123,0.00935633,0.03469607,0.98627804,0.003
156,0.00016037,0.00636315,0.00027416,0.00896406,0.03594625,0.98527136,0.003
157,0.00014786,0.00624917,0.00028102,0.00874065,0.03567271,0.98549466,0.003
158,0.0001521,0.00600188,0.00026934,0.00854022,0.03582445,0.985371,0.003
159,0.00015036,0.00677724,0.00025679,0.00867329,0.03503184,0.98601117,0.003
160,0.00015463,0.00666537,0.000259,0.00890255,0.03479294,0.98620131,0.003
161,0.00015292,0.00697456,0.00025872,0.00918401,0.03486982,0.98614026,0.003
162,0.00015388,0.00704125,0.00027739,0.00956677,0.03618981,0.98507109,0.003
163,0.00014718,0.00623362,0.0002564,0.00869623,0.03519466,0.98588084,0.003
164,0.00014169,0.00586559,0.00024625,0.00802842,0.03483126,0.9861709,0.003
165,0.00014391,0.00655034,0.00025732,0.00907904,0.03544805,0.9856768,0.003
166,0.00014749,0.00615158,0.00027054,0.00865667,0.03589589,0.9853126,0.003
167,0.00014266,0.00612468,0.00026303,0.00869618,0.03571484,0.98546039,0.003
168,0.00014635,0.00659703,0.00026413,0.00906328,0.0353308,0.98577139,0.003
169,0.00015733,0.00718554,0.00030545,0.00980637,0.03726622,0.9841698,0.003
170,0.00015946,0.00579403,0.00025686,0.00821179,0.03452856,0.98641022,0.003
171,0.00014299,0.00755294,0.00024462,0.00953704,0.03430549,0.98658525,0.003
172,0.000157,0.00633403,0.00026597,0.00877427,0.03576173,0.98542218,0.003
173,0.00015327,0.00685472,0.00030185,0.00981308,0.03735248,0.98409644,0.003
174,0.00014632,0.00624831,0.00027406,0.00893542,0.03626025,0.98501292,0.003
175,0.00015948,0.00647265,0.00025882,0.0088799,0.0352138,0.98586548,0.003
176,0.00015783,0.00688747,0.00024487,0.00889623,0.0337465,0.98701886,0.003
177,0.00015182,0.00677184,0.00027358,0.00934151,0.03541103,0.9857067,0.003
178,0.00014515,0.00638574,0.00025466,0.00862766,0.03438409,0.98652371,0.003
179,0.00014252,0.0064702,0.00024428,0.00867631,0.0341346,0.98671856,0.003
180,0.00013773,0.00671662,0.00025433,0.00922294,0.03455489,0.98638949,0.003
181,0.00013414,0.00629966,0.00025328,0.00865805,0.03449437,0.98643712,0.003
182,0.00013921,0.0057083,0.00025565,0.0081263,0.03461514,0.98634198,0.003
183,0.00013158,0.00557507,0.00025335,0.00802324,0.03474346,0.98624053,0.003
184,0.00013854,0.00635182,0.00028019,0.0089638,0.03608332,0.98515882,0.003
185,0.00013684,0.00552429,0.00027352,0.00832165,0.03588859,0.98531857,0.003
186,0.000131,0.00590713,0.0002465,0.00829427,0.03397873,0.98683958,0.003
187,0.00013796,0.00534783,0.00025401,0.00797176,0.03490353,0.98611346,0.003
188,0.0001434,0.00595489,0.00025107,0.00830283,0.03424845,0.98662982,0.003
189,0.00014614,0.00669224,0.00026723,0.0092861,0.03507634,0.9859756,0.003
190,0.00013652,0.00704442,0.00026018,0.00926551,0.03470484,0.9862711,0.003
191,0.00014069,0.00625735,0.00026916,0.00894635,0.03556049,0.98558578,0.003
192,0.00013867,0.00683922,0.00027943,0.00972183,0.03658319,0.98474477,0.003
193,0.00013076,0.00598454,0.00024808,0.00821405,0.03358326,0.98714414,0.003
194,0.00012992,0.00558564,0.00024197,0.00794484,0.03369378,0.98705938,0.003
195,0.00012668,0.00624738,0.00025395,0.00877168,0.03423132,0.98664319,0.003
196,0.00012821,0.00581498,0.00025997,0.00845614,0.03466357,0.98630374,0.003
197,0.00012637,0.00574628,0.00024719,0.00824258,0.03375233,0.98701437,0.003
198,0.00013035,0.00567274,0.00025526,0.00822145,0.0345956,0.9863574,0.003
199,0.00013082,0.00629504,0.00025119,0.00862036,0.03364368,0.98709784,0.003
200,0.00013793,0.0064924,0.00027554,0.00929543,0.03583753,0.98536032,0.003
201,0.00013752,0.00677467,0.00026109,0.00914969,0.03433925,0.98655883,0.003
202,0.00013106,0.00555827,0.00027273,0.00849131,0.03602987,0.98520275,0.003
203,0.00012456,0.00546265,0.00023662,0.00759787,0.03323222,0.98741149,0.003
204,0.00012529,0.00583795,0.00025155,0.00834716,0.03397437,0.98684295,0.003
205,0.00012346,0.00594298,0.00027101,0.00867515,0.03533318,0.98576947,0.003
206,0.00012014,0.00498629,0.000263,0.00776791,0.03569759,0.98547442,0.003
207,0.00011963,0.00535923,0.00026932,0.00805682,0.03560468,0.98554994,0.003
208,0.0001281,0.0061283,0.00026615,0.00875633,0.0347514,0.98623424,0.003
209,0.00012622,0.00570412,0.00028835,0.00874246,0.0365835,0.98474451,0.003
210,0.00012959,0.00599134,0.00028889,0.00873447,0.03521037,0.98586823,0.003
211,0.00014495,0.00662161,0.00026279,0.00903678,0.03469488,0.98627898,0.003
212,0.00013301,0.00618866,0.00026547,0.00868033,0.03514472,0.98592087,0.003
213,0.00012692,0.00632927,0.00024209,0.00858238,0.03285823,0.98769324,0.003
214,0.00012576,0.00557117,0.00024046,0.0080406,0.03349355,0.98721273,0.003
215,0.0001244,0.00560306,0.00024993,0.00817165,0.03359259,0.98713699,0.003
