epoch,train_loss,train_mae,val_loss,val_mae,val_rmse,val_r2,learning_rate
76,0.00030464,0.01145893,0.00049222,0.01444728,0.04743433,0.97435274,0.003
77,0.00032228,0.0109531,0.00037142,0.01286493,0.04142397,0.98044045,0.003
78,0.00029281,0.01146389,0.00033603,0.01257834,0.0382285,0.98334172,0.003
79,0.00028773,0.01008949,0.00034725,0.01198468,0.03923075,0.98245681,0.003
80,0.00029897,0.01083534,0.00040022,0.01310801,0.0402474,0.98153578,0.003
81,0.00031398,0.01057394,0.00035899,0.01254801,0.03994306,0.98181396,0.003
82,0.00028127,0.012131,0.00032481,0.01322515,0.03684202,0.98452814,0.003
83,0.00034111,0.01203532,0.00029697,0.0128016,0.03722425,0.98420544,0.003
84,0.00030538,0.01265643,0.00042717,0.01538134,0.03952807,0.98218988,0.003
85,0.00033317,0.01052212,0.00037087,0.01252482,0.03767496,0.98382065,0.003
86,0.00026888,0.01093638,0.00032243,0.01239251,0.03753885,0.98393734,0.003
87,0.00029453,0.01054753,0.00036048,0.01233606,0.03823737,0.983334,0.003
88,0.00029812,0.01114715,0.00033068,0.01305591,0.03839821,0.98319349,0.003
89,0.0002649,0.01147203,0.00047677,0.01409092,0.04496549,0.97695301,0.003
90,0.00028251,0.01044988,0.00030841,0.01242369,0.03526941,0.9858208,0.003
91,0.0002425,0.01099004,0.00031241,0.01268346,0.03606014,0.98517788,0.003
92,0.00024561,0.01158391,0.00027066,0.0123764,0.03690863,0.98447215,0.003
93,0.00025485,0.00995978,0.0003425,0.01237229,0.03716138,0.98425875,0.003
94,0.00025379,0.01049465,0.00031266,0.01218342,0.0352978,0.98579796,0.003
95,0.00024285,0.01027431,0.00028414,0.01166809,0.03255399,0.98792008,0.003
96,0.00022707,0.00869396,0.00029825,0.01075828,0.03322474,0.98741716,0.003
97,0.00022742,0.01003383,0.00028593,0.01230316,0.03552524,0.98561435,0.003
98,0.00022033,0.00963537,0.00026219,0.01128746,0.03512245,0.98593871,0.003
99,0.00020923,0.01026049,0.00025396,0.01164561,0.03253868,0.98793144,0.003
100,0.00022265,0.009913,0.0002982,0.01249033,0.03530195,0.98579462,0.003
101,0.000223,0.00914854,0.00024928,0.01086527,0.03255324,0.98792064,0.003
102,0.00018988,0.00808671,0.00023486,0.01005165,0.03152418,0.98867226,0.003
103,0.00018382,0.00872415,0.00025328,0.01020031,0.03121785,0.98889134,0.003
104,0.00022562,0.01297059,0.00034111,0.01437463,0.03641389,0.98488565,0.003
105,0.00026534,0.01058317,0.00024147,0.01158942,0.03233991,0.98807844,0.003
106,0.00025264,0.0094229,0.00033611,0.01208174,0.03772955,0.98377373,0.003
107,0.00019397,0.00884832,0.00023094,0.01014332,0.03252948,0.98793826,0.003
108,0.00017358,0.00811298,0.00021085,0.00931015,0.03086111,0.98914378,0.003
109,0.00015928,0.00740655,0.00021418,0.00940336,0.03159975,0.98861789,0.003
110,0.00016218,0.00742016,0.00023019,0.00962967,0.03196956,0.98834992,0.003
111,0.00018241,0.00746086,0.00022079,0.00969242,0.03282097,0.98772114,0.003
112,0.00015607,0.00739653,0.00021001,0.00909096,0.03308541,0.98752247,0.003
113,0.00014848,0.00756391,0.0002099,0.00933312,0.03013493,0.98964867,0.003
114,0.00016705,0.00770911,0.00022294,0.00980878,0.03248682,0.98796988,0.003
115,0.00015042,0.00717488,0.00019577,0.00868926,0.0300869,0.98968165,0.003
116,0.00014679,0.00662866,0.00019875,0.00871156,0.03138067,0.98877516,0.003
117,0.00014827,0.00761503,0.00020927,0.00918251,0.03116167,0.98893129,0.003
118,0.00015591,0.00754739,0.00022863,0.00958366,0.03318225,0.98744932,0.003
119,0.0001641,0.00785353,0.00020621,0.01003479,0.03140657,0.98875663,0.003
120,0.00015039,0.00772896,0.00024212,0.01002216,0.03278952,0.98774465,0.003
121,0.00016772,0.01007698,0.00026881,0.01149524,0.03584209,0.98535659,0.003
122,0.00022391,0.00864092,0.00025136,0.01007011,0.03185431,0.98843377,0.003
123,0.00020476,0.00841003,0.00026499,0.01060662,0.03468526,0.98628659,0.003
